Set,coef,odds_ratio,odds_ci_lower,odds_ci_upper
brown,1.726446593047779,5.6206459388969385,5.372659717522896,5.897206957905589
lightblue,1.3315466236259175,3.786895763147187,3.6023365300634405,3.9838891126920988
pink,0.8443191879959492,2.326393438721157,2.220352752487304,2.455142749642942
orange,0.9878623892438824,2.685487804851287,2.56003530538936,2.82157555267869
red,0.8188079874531738,2.2677949856674564,2.166936458061204,2.384798254687957
yellow,0.6034715589735148,1.828455385813913,1.7453397382784754,1.9254528034295737
green,0.3185667227843733,1.3751553723182515,1.3072446279832057,1.453661569616833
indigo,0.41793063998201824,1.518815325690487,1.454859474115146,1.5869918874750677
railroads,1.188417221608341,3.2818826014822777,3.1246296488108887,3.4653598039594784
utilities,1.0907139280115625,2.9763982483015896,2.844443204537103,3.0989849324524834
